nChains,reversible,random,execFolder,round,lowest,average
4.0,false,4,exec_21,8,0.08416429290866087,0.12779896088802772
4.0,true,4,exec_22,0,9.345249893875077E-76,0.17772606887440867
4.0,true,4,exec_22,1,5.048406663665216E-58,0.05302220169132231
4.0,true,4,exec_22,2,3.204448517201792E-7,0.22873492766005404
4.0,true,4,exec_22,3,6.120488285358251E-10,0.30761788998593087
4.0,true,4,exec_22,4,3.313772511213338E-6,0.1477713101383622
4.0,true,4,exec_22,5,0.03242407964333277,0.21034843984358997
4.0,true,4,exec_22,6,0.013009340618871238,0.17603878493016903
4.0,true,4,exec_22,7,0.03142359737997765,0.11347891374801991
4.0,true,4,exec_22,8,0.044356031604162474,0.15279003312175404
4.0,false,5,exec_23,0,6.993429269802986E-49,0.24906792239176606
4.0,false,5,exec_23,1,1.1170479246465715E-8,0.18337031128609882
4.0,false,5,exec_23,2,5.563688891156552E-9,0.34761203163366405
4.0,false,5,exec_23,3,6.049150331767093E-5,0.20767854366333344
4.0,false,5,exec_23,4,0.005323461001648977,0.1897655247231408
4.0,false,5,exec_23,5,0.03537616781025369,0.17401489191481306
4.0,false,5,exec_23,6,0.042532818323531715,0.16908965370662882
4.0,false,5,exec_23,7,0.03764345035699235,0.12686272183869898
4.0,false,5,exec_23,8,0.06878364001066312,0.13704585704810965
16.0,true,4,exec_24,0,0.40902537033372066,NaN
16.0,true,4,exec_24,1,2.5525750304489738E-21,0.7065739203749758
16.0,true,4,exec_24,2,0.05296884946277905,0.7286323060579063
16.0,true,4,exec_24,3,0.34046784101080885,0.7600788712180659
16.0,true,4,exec_24,4,0.4757896704550011,0.731269245266272
16.0,true,4,exec_24,5,0.5706700080642705,0.743746647177989
16.0,true,4,exec_24,6,0.6062818414041786,0.730072413709328
16.0,true,4,exec_24,7,0.6638962455493398,0.7329577731716875
16.0,true,4,exec_24,8,0.7018577558750317,0.7403211299719822
4.0,true,5,exec_25,0,0.8380932135871191,NaN
4.0,true,5,exec_25,1,2.0963096240226664E-47,0.2623684622290998
4.0,true,5,exec_25,2,4.915991556103782E-7,0.18335250239491324
4.0,true,5,exec_25,3,2.9683196687222595E-4,0.20861374343666533
4.0,true,5,exec_25,4,0.02578389953909064,0.2336186190272725
4.0,true,5,exec_25,5,0.07048644982234403,0.14618680729368505
4.0,true,5,exec_25,6,0.058874721798848874,0.11546308694689585
4.0,true,5,exec_25,7,0.05942730729850357,0.14600096418120753
4.0,true,5,exec_25,8,0.05806389448526928,0.1423634772442725
16.0,false,4,exec_26,0,0.18635103107658554,0.8529469375907897
16.0,false,4,exec_26,1,9.182855065603512E-5,0.7963281030596389
16.0,false,4,exec_26,2,0.17989484274565679,0.7530422184997034
16.0,false,4,exec_26,3,0.3179638130152961,0.713354589893651
16.0,false,4,exec_26,4,0.5865703145456067,0.7273667228080163
16.0,false,4,exec_26,5,0.5434471363238245,0.7412816068397823
16.0,false,4,exec_26,6,0.6640225539719343,0.7449810745118687
16.0,false,4,exec_26,7,0.6724995553147103,0.7500378710799777
16.0,false,4,exec_26,8,0.654592711616194,0.7450775764597558
8.0,false,5,exec_27,0,3.0489463864880417E-301,0.6144404365663433
8.0,false,5,exec_27,1,0.10718017282328253,0.4394355210812627
8.0,false,5,exec_27,2,0.19617957467931965,0.5138488633944112
8.0,false,5,exec_27,3,0.08943991045780716,0.5212431646954603
8.0,false,5,exec_27,4,0.2612440882010947,0.46694724906018864
8.0,false,5,exec_27,5,0.18949988947871085,0.451544580178239
8.0,false,5,exec_27,6,0.27260947767552,0.47605059357251317
8.0,false,5,exec_27,7,0.3959325556827116,0.48891522780283675
8.0,false,5,exec_27,8,0.44061401104175535,0.478834584245719
16.0,true,5,exec_28,0,0.7327438718451882,NaN
16.0,true,5,exec_28,1,0.002763689646716139,NaN
16.0,true,5,exec_28,2,0.007849106527875344,0.6885864180567483
16.0,true,5,exec_28,3,0.31551810292457755,0.7694284631147572
16.0,true,5,exec_28,4,0.3789165681439567,0.7120536381887909
16.0,true,5,exec_28,5,0.5326287118246954,0.748251419019229
16.0,true,5,exec_28,6,0.5861921594860072,0.7315290931774451
16.0,true,5,exec_28,7,0.6928908003285936,0.7441388053368048
16.0,true,5,exec_28,8,0.7012895450400709,0.7443716971659409
8.0,true,5,exec_29,0,6.285974187477981E-17,NaN
8.0,true,5,exec_29,1,5.255735473901274E-44,0.25891838902832126
8.0,true,5,exec_29,2,0.12478071752835357,0.43346751561636354
8.0,true,5,exec_29,3,0.021562041589583747,0.5678415420802772
8.0,true,5,exec_29,4,0.15105155452082134,0.4499273173124006
8.0,true,5,exec_29,5,0.09538755037380743,0.4810694897324196
8.0,true,5,exec_29,6,0.29211907727855957,0.4891976978306966
8.0,true,5,exec_29,7,0.31777046611199605,0.5005525846928375
8.0,true,5,exec_29,8,0.43803991734809444,0.47135965847176264
8.0,false,1,exec_3,0,9.447139041472313E-51,0.6799706179153614
8.0,false,1,exec_3,1,5.745194253862738E-13,0.6314066519032714
8.0,false,1,exec_3,2,0.16745149442913337,0.508427668669276
8.0,false,1,exec_3,3,0.21793907050026823,0.40548617901146145
8.0,false,1,exec_3,4,0.18763892765870147,0.5120122562580023
8.0,false,1,exec_3,5,0.297117039775644,0.45667250869405157
8.0,false,1,exec_3,6,0.238896890958082,0.4907050447763026
8.0,false,1,exec_3,7,0.3821797430757977,0.4835451521988822
8.0,false,1,exec_3,8,0.45462989530883063,0.4694628873503857
16.0,false,5,exec_30,0,1.0840756664638782E-35,0.7773068751510446
16.0,false,5,exec_30,1,6.602947395221537E-5,0.7292732650526319
16.0,false,5,exec_30,2,0.28447933225331923,0.7363386543853631
16.0,false,5,exec_30,3,0.30111442235691654,0.7409377488148543
16.0,false,5,exec_30,4,0.600107036467695,0.7485714333938822
16.0,false,5,exec_30,5,0.4728192537501929,0.7160926104570038
16.0,false,5,exec_30,6,0.6102677344850744,0.7288314511344552
16.0,false,5,exec_30,7,0.677906963192322,0.7379183783742636
16.0,false,5,exec_30,8,0.6920166868602685,0.7363738547639892
4.0,true,1,exec_4,0,0.5330646335969457,NaN
4.0,true,1,exec_4,1,0.21116478083363813,NaN
4.0,true,1,exec_4,2,2.5629091735171505E-40,0.2549475642397999
4.0,true,1,exec_4,3,2.089754784315693E-4,0.1349794475074388
4.0,true,1,exec_4,4,0.05086609679424822,0.2202846146483068
4.0,true,1,exec_4,5,0.011762385343349061,0.12199478658165722
4.0,true,1,exec_4,6,0.05983605802142897,0.1875929771851514
4.0,true,1,exec_4,7,0.023605358189619653,0.14731032744114966
4.0,true,1,exec_4,8,0.04656091455206046,0.16838312968942223
16.0,false,1,exec_5,0,0.47228103524942905,0.9111543966662076
