nChains,reversible,random,execFolder,round,count,rate
16.0,false,4,exec_26,1,0,0.0
16.0,false,4,exec_26,2,0,0.0
16.0,false,4,exec_26,3,0,0.0
16.0,false,4,exec_26,4,0,0.0
16.0,false,4,exec_26,5,0,0.0
16.0,false,4,exec_26,6,4,0.0
16.0,false,4,exec_26,7,16,0.2763315780712333
16.0,false,4,exec_26,8,26,0.08594371322352887
8.0,false,5,exec_27,0,0,0.0
8.0,false,5,exec_27,1,0,0.0
8.0,false,5,exec_27,2,0,0.0
8.0,false,5,exec_27,3,0,0.0
8.0,false,5,exec_27,4,0,0.0
8.0,false,5,exec_27,5,2,0.0
8.0,false,5,exec_27,6,3,0.0
8.0,false,5,exec_27,7,8,0.06908993220286784
8.0,false,5,exec_27,8,22,0.06103344382004439
16.0,true,5,exec_28,0,0,NaN
16.0,true,5,exec_28,1,0,NaN
16.0,true,5,exec_28,2,0,0.0
16.0,true,5,exec_28,3,0,0.0
16.0,true,5,exec_28,4,0,0.0
16.0,true,5,exec_28,5,0,0.0
16.0,true,5,exec_28,6,1,0.0
16.0,true,5,exec_28,7,3,0.05775475247003438
16.0,true,5,exec_28,8,13,0.042992019393019235
8.0,true,5,exec_29,0,0,NaN
8.0,true,5,exec_29,1,0,0.0
8.0,true,5,exec_29,2,0,0.0
8.0,true,5,exec_29,3,0,0.0
8.0,true,5,exec_29,4,0,0.0
8.0,true,5,exec_29,5,0,0.0
8.0,true,5,exec_29,6,4,0.0
8.0,true,5,exec_29,7,7,0.06241520123679012
8.0,true,5,exec_29,8,14,0.03912747578978808
8.0,false,1,exec_3,0,0,0.0
8.0,false,1,exec_3,1,0,0.0
8.0,false,1,exec_3,2,0,0.0
8.0,false,1,exec_3,3,0,0.0
8.0,false,1,exec_3,4,1,0.0
8.0,false,1,exec_3,5,0,0.0
8.0,false,1,exec_3,6,3,0.0
8.0,false,1,exec_3,7,8,0.0724661095386939
8.0,false,1,exec_3,8,25,0.06998111092828165
16.0,false,5,exec_30,0,0,0.0
16.0,false,5,exec_30,1,0,0.0
16.0,false,5,exec_30,2,0,0.0
16.0,false,5,exec_30,3,0,0.0
16.0,false,5,exec_30,4,0,0.0
16.0,false,5,exec_30,5,0,0.0
16.0,false,5,exec_30,6,5,0.0
16.0,false,5,exec_30,7,16,0.3460405125368656
16.0,false,5,exec_30,8,34,0.11503167288402893
4.0,true,1,exec_4,0,0,NaN
4.0,true,1,exec_4,1,0,NaN
4.0,true,1,exec_4,2,0,0.0
4.0,true,1,exec_4,3,0,0.0
4.0,true,1,exec_4,4,0,0.0
4.0,true,1,exec_4,5,0,0.0
4.0,true,1,exec_4,6,1,0.0
4.0,true,1,exec_4,7,2,0.0
4.0,true,1,exec_4,8,8,0.02922735581903284
16.0,false,1,exec_5,0,0,0.0
16.0,false,1,exec_5,1,0,0.0
16.0,false,1,exec_5,2,0,0.0
16.0,false,1,exec_5,3,0,0.0
16.0,false,1,exec_5,4,0,0.0
16.0,false,1,exec_5,5,2,0.0
16.0,false,1,exec_5,6,5,0.0
16.0,false,1,exec_5,7,15,0.2679586949812683
16.0,false,1,exec_5,8,33,0.11292531216628018
4.0,true,2,exec_6,0,0,NaN
4.0,true,2,exec_6,1,0,0.0
4.0,true,2,exec_6,2,0,0.0
4.0,true,2,exec_6,3,0,0.0
4.0,true,2,exec_6,4,0,0.0
4.0,true,2,exec_6,5,0,0.0
4.0,true,2,exec_6,6,0,0.0
4.0,true,2,exec_6,7,5,0.3771101118310431
4.0,true,2,exec_6,8,5,0.023011912379954817
4.0,false,2,exec_7,0,0,0.0
4.0,false,2,exec_7,1,0,0.0
4.0,false,2,exec_7,2,0,0.0
4.0,false,2,exec_7,3,0,0.0
4.0,false,2,exec_7,4,0,0.0
4.0,false,2,exec_7,5,0,0.0
4.0,false,2,exec_7,6,3,0.0
4.0,false,2,exec_7,7,6,0.07657301507752048
4.0,false,2,exec_7,8,8,0.029634392959259733
16.0,true,1,exec_8,0,0,0.0
16.0,true,1,exec_8,1,0,0.0
16.0,true,1,exec_8,2,0,0.0
16.0,true,1,exec_8,3,0,0.0
16.0,true,1,exec_8,4,0,0.0
16.0,true,1,exec_8,5,0,0.0
16.0,true,1,exec_8,6,1,0.0
16.0,true,1,exec_8,7,7,0.1327662847523359
16.0,true,1,exec_8,8,9,0.030527755355729488
16.0,true,2,exec_9,0,0,0.0
16.0,true,2,exec_9,1,0,0.0
16.0,true,2,exec_9,2,0,0.0
16.0,true,2,exec_9,3,0,0.0
16.0,true,2,exec_9,4,0,0.0
16.0,true,2,exec_9,5,0,0.0
16.0,true,2,exec_9,6,1,0.0
16.0,true,2,exec_9,7,5,0.10714409683026903
16.0,true,2,exec_9,8,12,0.040815415322050234
